Year,Quarter,Month,Day,Country,Aircraft,Location,Operator,Ground,Aboard,Month_Num,Month_Name,Date,Fatalities_Air,Survived,Survival_Rate,Fatality_Rate,Total_Deaths,Manufacturer,Total_Fatalities,YearMonth
1970,Qtr 2,April,28,Kainatu,de Havilland Canada DHC 6 Twin Otter 100VH,Kainatu,Airlines Australia GuineaTrans New,0,11,4,April,1970-04-28,8,3,27.27272727272727,0.7272727272727273,8,de Havilland Canada,8,1970-04
1952,Qtr 2,April,30,Delhi,Douglas DC 3VT,Delhi,Airways IndiaDeccan,0,9,4,April,1952-04-30,9,0,0.0,1.0,9,Douglas,9,1952-04
1973,Qtr 2,April,10,Near Basel,Vickers Vanguard 952G AXOP,Near Basel,(UK) Airlines International SwitzerlandInvicta,0,145,4,April,1973-04-10,108,37,25.517241379310345,0.7448275862068966,108,Vickers Vanguard,108,1973-04
2000,Qtr 2,April,19,Unknown,Antonov AN 8TL,Pepa -,Airlines Centrafricain,0,24,4,April,2000-04-19,24,0,0.0,1.0,24,Antonov,24,2000-04
1946,Qtr 2,April,30,Unknown,Douglas C 47A FZ559,Pindi-Khut -,Force Air Royal,0,12,4,April,1946-04-30,12,0,0.0,1.0,12,Douglas,12,1946-04
1960,Qtr 2,April,14,Unknown,Douglas DC 4?,Taipei -,Force Air Thai Royal,0,18,4,April,1960-04-14,18,0,0.0,1.0,18,Douglas,18,1960-04
2024,Qtr 2,April,23,Alaska,Douglas C-54D Skymaster N3054V,Near Fairbanks,Alaska Air Fuel,0,2,4,April,2024-04-23,2,0,0.0,1.0,2,Douglas,2,2024-04
1958,Qtr 2,April,21,Unknown,Douglas DC 7 / F,Near Sloan 10,Nevada Vegas Las of SW miles United Air Lines / Military - U.S. Air Force,0,49,4,April,1958-04-21,49,0,0.0,1.0,49,Douglas,49,1958-04
1997,Qtr 2,April,23,Afghanistan,Antonov AN 26?,Near Konduz Afghanistan,Force Air Republican Afghan - Military,0,36,4,April,1997-04-23,36,0,0.0,1.0,36,Antonov,36,1997-04
1988,Qtr 2,April,10,Afghanistan,Antonov AN 26?,Near Mazâr-e Charif Afghanistan,Force Air Republican Afghan - Military,0,29,4,April,1988-04-10,29,0,0.0,1.0,29,Antonov,29,1988-04
1993,Qtr 2,April,27,Afghanistan,Antonov AN 32?,Near Kholm Afghanistan,Force Air Republican Afghan - Military,0,76,4,April,1993-04-27,76,0,0.0,1.0,76,Antonov,76,1993-04
2006,Qtr 2,April,24,Afghanistan,Antonov AN 32BZS,Lashkar Gah Afghanistan,(leased) Government U.S.,3,16,4,April,2006-04-24,2,14,87.5,0.125,5,Antonov,5,2006-04
2013,Qtr 2,April,29,Afghanistan,Boeing B 747,Bagram Air Base Afghanistan,Cargo Air National,0,7,4,April,2013-04-29,7,0,0.0,1.0,7,Boeing,7,2013-04
1973,Qtr 2,April,18,Afghanistan,de Havilland Canada DHC 6 Twin Otter 100YA,Bamiyan Afghanistan,Airlines Afghan Bakhtar,0,19,4,April,1973-04-18,4,15,78.94736842105263,0.21052631578947367,4,de Havilland Canada,4,1973-04
1994,Qtr 2,April,26,Aichi,Airbus A300B4 622RB,Near Komaki Aichi,Japan China Airlines (Taiwan),0,271,4,April,1994-04-26,264,7,2.5830258302583027,0.974169741697417,264,Airbus,264,1994-04
1956,Qtr 2,April,9,Alaska,Aero Commander 520B5386N,Skilak Lake Alaska,Airlines Cordova,0,6,4,April,1956-04-09,6,0,0.0,1.0,6,Aero Commander,6,1956-04
1976,Qtr 2,April,5,Alaska,Boeing B 727,Ketchikan Alaska,Airlines Alaska,0,50,4,April,1976-04-05,1,49,98.0,0.02,1,Boeing,1,1976-04
1983,Qtr 2,April,7,Alaska,Britten Norman BN,Selawik Alaska,Airlines Northern Munz,0,3,4,April,1983-04-07,2,1,33.33333333333333,0.6666666666666666,2,Britten,2,1983-04
1964,Qtr 2,April,17,Alaska,Cessna 185N9984X,Elim Alaska,Inc. Airlines Alaska Wein,0,2,4,April,1964-04-17,2,0,0.0,1.0,2,Cessna,2,1964-04
1997,Qtr 2,April,10,Alaska,Cessna 208B Caravan IN408GV,Near Wainwright Alaska,Services Aviation Hageland,0,5,4,April,1997-04-10,5,0,0.0,1.0,5,Cessna 208B Caravan,5,1997-04
1982,Qtr 2,April,11,Alaska,Hughes 369DN11058,Near Tanana Alaska,Copters Tundra - Taxi Air,0,3,4,April,1982-04-11,3,0,0.0,1.0,3,Hughes,3,1982-04
